ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,79.805942995755,93.83464726096624,90.32747119466343,74.0645679774783,86.82029512836063,74.05976824557837,StratifiedKFold 10 Fold and 100 Trees.
2,78.7143723468769,93.97614715989488,90.16070345664039,73.49496882626457,86.34525975338589,73.47772782999591,StratifiedKFold 10 Fold and 200 Trees.
3,79.44208611279564,93.77400444713967,90.19102486355366,73.6836470938646,86.60804527996766,73.67778681855167,StratifiedKFold 10 Fold and 300 Trees.
4,79.56337174044876,93.96604002425713,90.36537295330504,74.11526226735396,86.76470588235293,74.10614240603036,StratifiedKFold 10 Fold and 400 Trees.
5,79.1691934505761,93.9963614311704,90.28956943602184,73.8731141742429,86.58277744087324,73.85981022344659,StratifiedKFold 10 Fold and 500 Trees.
6,78.92662219526986,94.03678997372144,90.25924802910855,73.7630168972945,86.48170608449564,73.74604147512514,StratifiedKFold 10 Fold and 600 Trees.
7,78.53244390539722,93.9963614311704,90.1303820497271,73.39418036062693,86.26440266828381,73.37423312883435,StratifiedKFold 10 Fold and 700 Trees.
8,78.32019405700424,94.01657570244592,90.09248029108551,73.27058991757097,86.16838487972508,73.24736465049637,StratifiedKFold 10 Fold and 800 Trees.
9,78.7143723468769,93.98625429553265,90.16828380836871,73.51302893227519,86.35031332120477,73.49545315214058,StratifiedKFold 10 Fold and 900 Trees.
10,78.89630078835658,93.96604002425713,90.19860521528199,73.61381652586262,86.43117040630685,73.59877488514547,StratifiedKFold 10 Fold and 1000 Trees.
11,78.68405093996361,94.07721851627248,90.22892662219527,73.65309157006278,86.38063472811804,73.63199345402475,StratifiedKFold 10 Fold and 1100 Trees.
12,78.89630078835658,94.04689710935921,90.25924802910855,73.75831083056167,86.47159894885789,73.74067640747931,StratifiedKFold 10 Fold and 1200 Trees.
13,79.32080048514251,94.03678997372144,90.35779260157672,74.05916252141014,86.67879522943197,74.04611303815548,StratifiedKFold 10 Fold and 1300 Trees.
14,78.74469375379017,94.02668283808369,90.20618556701031,73.60814465637355,86.38568829593693,73.58953393295175,StratifiedKFold 10 Fold and 1400 Trees.
15,78.28987265009097,94.08732565191025,90.13796240145543,73.3747820146461,86.1885991510006,73.34835603810303,StratifiedKFold 10 Fold and 1500 Trees.
16,77.80473013947848,94.07721851627248,90.00909642207398,72.99131027513964,85.94097432787548,72.95855560114896,StratifiedKFold 10 Fold and 1600 Trees.
17,78.13826561552456,94.02668283808369,90.05457853244391,73.15170768959656,86.08247422680412,73.12576812781647,StratifiedKFold 10 Fold and 1700 Trees.
18,77.71376591873863,93.9963614311704,89.92571255306247,72.77727547128683,85.85506367495451,72.74684712396186,StratifiedKFold 10 Fold and 1800 Trees.
19,77.59248029108551,94.01657570244592,89.91055184960582,72.72212186175065,85.80452799676571,72.68903252282753,StratifiedKFold 10 Fold and 1900 Trees.
20,77.25894481503943,94.10753992318577,89.89539114614918,72.63458772754728,85.68324236911259,72.59175490901615,StratifiedKFold 10 Fold and 2000 Trees.
21,77.77440873256519,94.06711138063473,89.99393571861735,72.95025779466994,85.92076005659996,72.91752154288059,StratifiedKFold 10 Fold and 2100 Trees.
