ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,80.92511743575574,93.89390364718979,90.6515408363037,75.44268548523267,87.40951054147276,75.12764152848642,StratifiedKFold 10 Fold and 100 Trees.
2,82.16837063645573,93.69178131159931,90.81080983066238,75.9843415762729,87.93007597402752,75.70739268845222,StratifiedKFold 10 Fold and 200 Trees.
3,82.01777654969145,93.7220332751172,90.79560661474208,75.95227228030322,87.86990491240432,75.64220171413267,StratifiedKFold 10 Fold and 300 Trees.
4,82.6546928249056,93.76252923573449,90.98520740950457,76.47148563483309,88.20861103032004,76.20859948873826,StratifiedKFold 10 Fold and 400 Trees.
5,82.10905406650087,93.74228636210437,90.83359461744446,76.03633689005301,87.92567021430261,75.74968517541798,StratifiedKFold 10 Fold and 500 Trees.
6,82.04826379294464,93.67148737118404,90.76527486663171,75.89588514803009,87.85987558206433,75.59225211325649,StratifiedKFold 10 Fold and 600 Trees.
7,82.29068803536889,93.64116391416695,90.8031996727268,76.06186098289962,87.96592597476791,75.74604330384945,StratifiedKFold 10 Fold and 700 Trees.
8,82.29068803536889,93.76247816894936,90.89420643032756,76.23821868397687,88.02658310215912,75.9546255498232,StratifiedKFold 10 Fold and 800 Trees.
9,82.13862024500322,93.63108333078,90.75772213559526,75.87080500301391,87.8848517878916,75.60579186684164,StratifiedKFold 10 Fold and 900 Trees.
10,82.16873906235608,93.78269040250841,90.87899167499091,76.17013757219793,87.97571473243225,75.88940596389597,StratifiedKFold 10 Fold and 1000 Trees.
11,82.22980565533757,93.63109354413703,90.78044936474467,75.94794636373318,87.9304495997373,75.66452438026145,StratifiedKFold 10 Fold and 1100 Trees.
12,82.62429768812748,93.55018332975865,90.81835114430046,76.13503365662285,88.08724050894307,75.8610569628374,StratifiedKFold 10 Fold and 1200 Trees.
13,82.23054250713825,93.72204348847423,90.84877489398117,76.10181952716349,87.97629299780624,75.83641656056469,StratifiedKFold 10 Fold and 1300 Trees.
14,82.50326977986552,93.69167917802903,90.89418344736613,76.28521157377587,88.09747447894728,76.00315239506624,StratifiedKFold 10 Fold and 1400 Trees.
15,82.07829050382242,93.73214449857524,90.81835115301604,76.00269108877812,87.90521750119883,75.73050249074339,StratifiedKFold 10 Fold and 1500 Trees.
16,82.19931841208437,93.72204348847423,90.84109566514329,76.07418472712716,87.9606809502793,75.81063550057924,StratifiedKFold 10 Fold and 1600 Trees.
17,82.0174081237911,93.69172003145714,90.7728391458001,75.88080892609679,87.85456407762413,75.61799756145625,StratifiedKFold 10 Fold and 1700 Trees.
18,82.32053053329649,93.78270061586542,90.91692791591552,76.28104862271468,88.05161557458096,76.01171382065505,StratifiedKFold 10 Fold and 1800 Trees.
19,82.53348070369347,93.72205370183126,90.92456119626166,76.32547200877556,88.12776720276236,76.06565566220725,StratifiedKFold 10 Fold and 1900 Trees.
20,82.1388044579534,93.69168939138605,90.80318239846456,76.00018919715897,87.91524692466973,75.73194047015593,StratifiedKFold 10 Fold and 2000 Trees.
21,82.22989776181265,93.71192205165916,90.84108990415068,76.09605746564087,87.97090990673591,75.82120629825188,StratifiedKFold 10 Fold and 2100 Trees.
22,82.29031960946855,93.77259960576441,90.90175918751073,76.2241749253271,88.03145960761648,75.95991622808803,StratifiedKFold 10 Fold and 2200 Trees.
23,82.38122870037763,93.68159859464208,90.85625865870217,76.14899875116006,88.03141364750985,75.88076490539311,StratifiedKFold 10 Fold and 2300 Trees.
24,82.68490374873353,93.77260981912144,91.0003647466577,76.52143641656824,88.2287567839275,76.2572297884218,StratifiedKFold 10 Fold and 2400 Trees.
25,82.56369162752142,93.68158838128504,90.9017476742411,76.28544678804356,88.12264000440322,76.01225901690871,StratifiedKFold 10 Fold and 2500 Trees.
26,82.47259832366215,93.69172003145714,90.88659616780515,76.24298755375864,88.08215917755965,75.96871198182691,StratifiedKFold 10 Fold and 2600 Trees.
27,82.13898867090356,93.60072923369182,90.73494313595249,75.84854344216167,87.86985895229769,75.56578543961434,StratifiedKFold 10 Fold and 2700 Trees.
28,82.32080685272174,93.64116391416695,90.81075813860917,76.0320967928453,87.98098538344433,75.7596375774818,StratifiedKFold 10 Fold and 2800 Trees.
29,81.98738141291332,93.70180061484409,90.7728678810386,75.90159383044605,87.84459101387871,75.61525860478478,StratifiedKFold 10 Fold and 2900 Trees.
30,82.38159712627798,93.7220332751172,90.8866249379059,76.23574854575271,88.05181520069759,75.94812887974577,StratifiedKFold 10 Fold and 3000 Trees.
