ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,91.55230726720089,94.85143753000173,94.02665618166012,84.53775780595716,93.20187239860131,84.4376667298019,RepeatedStratifiedKFold 10 Fold and 100 Trees.
2,91.57988394584139,94.8099927485165,94.00245115331934,84.48394007573076,93.19493834717895,84.38029421471062,RepeatedStratifiedKFold 10 Fold and 200 Trees.
3,91.75576126001658,94.75143344465893,94.00246893744253,84.51351202995934,93.25359735233775,84.39990741804071,RepeatedStratifiedKFold 10 Fold and 300 Trees.
4,91.85281385281385,94.75756350154732,94.03137116539703,84.59922095416353,93.3051886771806,84.48341896654144,RepeatedStratifiedKFold 10 Fold and 400 Trees.
5,91.72545822971355,94.76049167100734,94.00170792949298,84.50740101236308,93.24297495036045,84.39440680391937,RepeatedStratifiedKFold 10 Fold and 500 Trees.
6,91.87043382149766,94.72913360092329,94.01452461456867,84.5577701810565,93.29978371121047,84.44020747715949,RepeatedStratifiedKFold 10 Fold and 600 Trees.
7,91.94066500875012,94.72817456669833,94.0312792431384,84.61097714723262,93.33441978772422,84.49177367236757,RepeatedStratifiedKFold 10 Fold and 700 Trees.
8,91.8010960670535,94.76344945920275,94.02286835167943,84.56987819029828,93.28227276312813,84.45607081323176,RepeatedStratifiedKFold 10 Fold and 800 Trees.
9,91.96164686377452,94.75543401660691,94.05703279055894,84.66663171657669,93.35854044019072,84.55123476808372,RepeatedStratifiedKFold 10 Fold and 900 Trees.
10,91.82826747720365,94.77459631706346,94.03801980756506,84.60295871528811,93.30143189713355,84.4927227783996,RepeatedStratifiedKFold 10 Fold and 1000 Trees.
11,91.9192502532928,94.76144049187528,94.05089863989326,84.64622351393044,93.34034537258404,84.53156469933145,RepeatedStratifiedKFold 10 Fold and 1100 Trees.
12,91.89490651192779,94.71091807866327,94.00693968036792,84.54499255468151,93.30291229529553,84.42459663680414,RepeatedStratifiedKFold 10 Fold and 1200 Trees.
13,91.91359491572257,94.73621860669384,94.03053373931859,84.60160987501418,93.32490676120821,84.48290537473264,RepeatedStratifiedKFold 10 Fold and 1300 Trees.
14,91.8921064750852,94.73417797795958,94.02366384191515,84.5851082669055,93.31314222652239,84.4644592594856,RepeatedStratifiedKFold 10 Fold and 1400 Trees.
15,91.8889656442848,94.72813167059881,94.01835449282295,84.56964680876634,93.3085486574418,84.45094320660047,RepeatedStratifiedKFold 10 Fold and 1500 Trees.
16,91.87976420742378,94.76453820306196,94.04334639257101,84.62855375689311,93.32215120524287,84.51057713899087,RepeatedStratifiedKFold 10 Fold and 1600 Trees.
17,91.961619231832,94.74329748445017,94.04789132505375,84.64919038749262,93.35245835814108,84.52928675452584,RepeatedStratifiedKFold 10 Fold and 1700 Trees.
18,91.88596297319701,94.72912440890197,94.01835505061952,84.56830098734238,93.30754369104949,84.45084165165605,RepeatedStratifiedKFold 10 Fold and 1800 Trees.
19,91.95587178778668,94.73315459958533,94.0388320099087,84.63351172109867,93.34451319368601,84.51011574547003,RepeatedStratifiedKFold 10 Fold and 1900 Trees.
20,92.05302569770654,94.73618694528705,94.06536730310906,84.70316724869946,93.3946063214968,84.58349095782076,RepeatedStratifiedKFold 10 Fold and 2000 Trees.
21,91.99518283135305,94.74328318575033,94.05628843022207,84.67167513540006,93.36923300855169,84.55214766474091,RepeatedStratifiedKFold 10 Fold and 2100 Trees.
22,91.90405268490375,94.72103951547834,94.01681115166409,84.56936848046291,93.31254610019104,84.45041844388909,RepeatedStratifiedKFold 10 Fold and 2200 Trees.
23,91.91600810536981,94.74635536354444,94.0388319977069,84.6224209055058,93.33118173445713,84.50258725879132,RepeatedStratifiedKFold 10 Fold and 2300 Trees.
24,91.83767154830984,94.75238839354107,94.02366326145811,84.57252878613119,93.29502997092546,84.45779633086534,RepeatedStratifiedKFold 10 Fold and 2400 Trees.
